7zip 26.02-1
aardvark-dns 2.0.0-1
alsa-utils 1.2.16-1
amd-ucode 20260622-1
android-tools 36.0.1-2
awww 0.12.1-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bitwarden 2026.3.1-2
blueman 2.4.6-2
bluez 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
btop 1.4.7-1
btrfs-assistant 2.2-5
btrfs-progs 7.1-1
catatonit 0.2.1-2
celluloid 0.30-1
cliphist 1:0.7.0-2
conmon 1:2.2.1-1
converseen 0.15.2.7-1
dosfstools 4.2-5
efibootmgr 18-4
expac 10-12
fd 10.4.2-2
file-roller 44.7-1
firefox 153.0.1-1
fish 4.8.1-1
fisher 4.4.8-1
fuse-overlayfs 1.17-1
fuse2 2.9.9-5
fuzzel 1.14.1-1
fzf 0.74.1-1
gdu 5.36.1-1
gimp 3.2.4-2
git 2.55.0-1
glow 2.1.2-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.8-1
gvfs-mtp 1.60.1-1
hyprlock 0.9.6-1
hyprutils 0.14.0-1
hyprwayland-scanner 0.4.6-1
intel-media-driver 26.1.5-1
iotop 0.6-13
jq 1.8.2-1
kitty 0.48.1-1
kvantum 1.1.8-1
kvantum-qt5 1.1.8-1
less 1:704-1
libinput-tools 1.31.3-1
libpulse 17.0+r98+gb096704c0-1
limine 12.5.2-1
linux 7.1.5.arch1-2
linux-firmware 20260622-1
linux-headers 7.1.5.arch1-2
lshw B.02.20-3
mako 1.11.0-1
mkinitcpio 41-4
mpv-mpris 1.2-1
nano 9.1-1
neovim 0.12.4-1
netavark 2.0.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
niri 26.04-1
nodejs 26.5.0-1
noto-fonts 1:2026.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.1-1
nvidia-container-toolkit 1.19.1-1
nvidia-open-dkms 610.43.03-5
nvidia-prime 1.0-6
nvidia-settings 610.43.03-1
nvidia-utils 610.43.03-5
nvme-cli 2.16-2
nvtop 3.3.2-1
openbsd-netcat 1.238_1-1
pacman-contrib 1.13.1-1
passt 2026_07_28.f8df3f1-1
pavucontrol 1:6.2-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
plocate 1.1.24-1
podman 6.0.2-2
podman-compose 1.6.0-1
polkit-gnome 0.105-12
power-profiles-daemon 0.30-1
powertop 2.15-2
prismlauncher 11.0.3-2
qpwgraph 1.0.3-1
qt5ct 1.9-2
qt6ct 0.11-7
ripgrep 15.2.0-1
sddm 0.21.0-7
seatd 0.9.3-1
slirp4netns 1.3.4-1
slurp 1.5.0-2
smartmontools 7.5-1
snap-pac 3.0.1-3
snapper 0.13.1-2
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
sudo 1.9.17.p2-6
swappy 1.8.0-1
swayidle 1.9.0-1
swayosd 0.3.1-1
tailscale 1.98.10-1
tela-circle-icon-theme-standard 2026_07_07-1
telegram-desktop 7.0.6-1
tesseract 5.5.3-1
tesseract-data-eng 2:4.1.0-5
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
tree 2.3.2-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
udiskie 2.6.2-1
unrar 1:7.2.7-1
unzip 6.0-23
usbutils 019-1
virtualbox 7.2.14-1
virtualbox-guest-iso 7.2.14-1
vulkan-radeon 1:26.1.5-1
vulkan-tools 1.4.350.1-1
waybar 0.15.0-2
wayland-utils 1.3.0-1
wget 1.25.0-6
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
wpa_supplicant 2:2.11-5
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xorg-xlsclients 1.1.6-1
xorg-xwayland 24.1.13-1
xwayland-satellite 0.8.2-1
yt-dlp 2026.07.04-1
zathura 2026.07.18-1
zathura-pdf-mupdf 2026.07.18-1
zip 3.0-13
zoxide 0.10.0-1
zram-generator 1.2.1-1
